,title,budget,revenue,runtime,movie_id,genre
282,Trollhunters: Rise of the Titans,0,0,106,730840,"Animation,Fantasy,Family,Action,Adventure,"
283,Milkwater,0,0,102,710415,"Drama,Comedy,"
284,The Tambour of Retribution,0,0,92,787726,"Drama,"
285,Cosmic Sin,20000000,349757,88,681887,"Action,Adventure,Science Fiction,"
286,2 Weeks in Lagos,0,0,115,669374,"Romance,Drama,Comedy,"
287,Deep,0,0,116,619979,"Drama,Mystery,Thriller,"
288,Fear Street Part 3: 1666,0,0,114,591275,"Mystery,Horror,"
289,La ley de Herodes,0,52000,123,14430,"Comedy,Crime,Mystery,"
290,The Beguiled,10500000,27397655,93,399019,"Drama,"
291,The Book of Henry,10000000,4596705,105,382614,"Drama,Crime,Thriller,"
292,The Twilight Saga: Breaking Dawn: Part 1,110000000,712171856,117,50619,"Adventure,Fantasy,Romance,"
293,The Twilight Saga: Breaking Dawn: Part 2,120000000,829747654,115,50620,"Adventure,Fantasy,Drama,Romance,"
294,The Twilight Saga: Eclipse,68000000,698491347,124,24021,"Adventure,Fantasy,Drama,Romance,"
295,The Twilight Saga: New Moon,50000000,709827462,131,18239,"Adventure,Fantasy,Drama,Romance,"
296,Twilight,37000000,393616788,122,8966,"Fantasy,Drama,Romance,"
297,A Perfect Fit,0,0,112,800669,"Romance,Comedy,Drama,"
298,Cheech & Chong's Still Smokin,0,41675194,99,13612,"Action,Adventure,Comedy,"
299,Emicida: AmarElo - Live in São Paulo,0,0,99,845417,"Music,Documentary,"
300,Lift Like a Girl,0,0,93,728886,"Documentary,"
301,My Amanda,0,0,90,843808,"Romance,Drama,"
302,Surf's Up,85000000,149044513,85,9408,"Animation,Comedy,Family,"
303,The Unknown Saint,0,0,100,596876,"Comedy,Drama,"
304,This Changes Everything,64988,125348,97,541577,"Documentary,"
305,A Classic Horror Story,0,0,95,768334,"Horror,Mystery,"
306,Gunpowder Milkshake,30000000,1015760,114,574060,"Action,Crime,Thriller,"
307,Private Network: Who Killed Manuel Buendía?,0,0,100,842063,"Documentary,History,"
308,The Guide to the Perfect Family,0,0,102,633954,"Comedy,Drama,"
309,American Woman,0,0,111,339976,"Drama,"
310,Bridgerton - The Afterparty,,,,,
311,Day of Destiny,0,0,110,846507,"Science Fiction,Comedy,"
312,Born to Play,0,0,92,720441,"Documentary,"
313,American Ultra,28000000,27139524,96,261392,"Comedy,Action,"
314,The Stand-Up,0,0,0,1055334,"Drama,"
315,The Tour,0,3002884,106,249688,"Drama,"
316,Fear Street Part 2: 1978,0,0,110,591274,"Mystery,Horror,Fantasy,"
317,Finding Hubby,0,0,104,845414,"Comedy,Romance,"
318,How I Became a Superhero,18000000,0,101,641501,"Science Fiction,Adventure,Action,Comedy,Thriller,"
319,Last Summer,0,0,109,502292,"Romance,Comedy,"
320,Lee Su-geun: The Sense Coach,0,0,45,840611,"Comedy,"
321,Lethal Love,0,0,87,849506,"Thriller,TV Movie,"
322,Ratchet and Clank,0,0,23,796272,"Animation,Adventure,Action,"
323,Back to Q82,0,0,105,545380,"Comedy,Science Fiction,"
324,Home Again,12000000,27020284,97,427900,"Comedy,Drama,Romance,"
325,Midnight Sun,2800000,27365467,91,419478,"Romance,Drama,"
326,Rock the Kasbah,15000000,3020664,100,253414,"Comedy,Music,War,"
327,Awon Boyz,0,0,39,848702,"Documentary,"
328,Brick Mansions,28000000,68896829,90,254473,"Action,Crime,Drama,"
329,Clash,125000000,493214993,106,18823,"Adventure,Fantasy,Action,"
330,Major Grom: Plague Doctor,5000000,4493306,136,529106,"Action,Adventure,"
331,Mama Drama,0,0,105,848696,"Drama,"
332,Tango With Me,0,0,104,619161,
333,Therapy,2000000,1340000,97,364470,"Science Fiction,Adventure,Action,"
334,This Little Love Of Mine,0,0,91,806643,"Romance,Comedy,"
335,Three Thieves,0,0,108,796733,"Crime,Comedy,"
336,A Land Imagined,0,0,95,537526,"Mystery,Drama,Thriller,"
337,Har Kisse Ke Hisse: Kaamyaab,0,0,109,598859,"Comedy,Drama,"
338,Rehmataan,0,0,0,880991,
339,Return of the Prodigal Son,0,0,132,700248,"Drama,"
340,Rise: Ini Kalilah,0,0,102,548001,"Drama,"
341,Si Doel the Movie 2,0,0,95,599811,"Drama,Comedy,Family,Romance,"
342,Truckbhar Swapna,0,0,128,589815,"Drama,Family,"
343,Ujala,0,0,142,486250,
344,Fear Street Part 1: 1994,0,0,107,591273,"Mystery,Horror,Fantasy,"
345,Haseen Dillruba,0,0,136,695969,"Mystery,Crime,Thriller,Romance,"
346,Holiday on Mars,0,0,93,727246,"Comedy,Science Fiction,"
347,RattleSnake - The Ahanna Story,0,0,135,800415,"Action,Crime,"
348,Snowpiercer,39200000,86758912,127,110415,"Action,Science Fiction,Drama,"
349,The 8th Night,0,0,115,604360,"Mystery,Thriller,Horror,"
350,Winchester,3500000,44019588,100,416234,"Horror,Thriller,"
351,6 Bullets,10000000,0,115,127521,"Thriller,Action,Crime,"
352,Air Force One,85000000,315156409,124,9772,"Action,Thriller,"
353,Audible,0,0,39,820492,"Documentary,"
354,Austin Powers in Goldmember,63000000,296938801,93,818,"Comedy,Crime,Science Fiction,"
355,Austin Powers: International Man of Mystery,16500000,67711748,94,816,"Science Fiction,Comedy,Crime,"
356,Austin Powers: The Spy Who Shagged Me,33000000,312016928,95,817,"Adventure,Comedy,Crime,Science Fiction,"
357,Boogie Nights,15000000,43101594,156,4995,"Drama,"
358,Charlie's Angels,92000000,264105545,98,4327,"Action,Adventure,Comedy,Crime,Thriller,"
359,Congo,50000000,152022101,109,10329,"Action,Adventure,Science Fiction,"
